iv,W1_Hypertension,H1_Hypertension
(Intercept),"0.04 	(0.03, 0.05)","0.05 	(0.04, 0.06)"
htn,"1.21 	(1.16, 1.26)","1.19 	(1.15, 1.24)"
hh_consumptionquintileHigh,"1.18 	(1.10, 1.27)","1.18 	(1.10, 1.27)"
hh_consumptionquintileHighest,"1.20 	(1.12, 1.30)","1.19 	(1.11, 1.28)"
hh_consumptionquintileLow,"1.09 	(1.02, 1.17)","1.14 	(1.06, 1.22)"
hh_consumptionquintileMedium,"1.14 	(1.07, 1.23)","1.13 	(1.05, 1.21)"
hh_high,"1.01 	(0.94, 1.08)","0.93 	(0.87, 0.99)"
hh_highest,"0.96 	(0.89, 1.02)","0.94 	(0.88, 1.00)"
hh_lengthmar,"1.00 	(1.00, 1.01)","1.00 	(0.99, 1.00)"
hh_low,"1.04 	(0.97, 1.12)","0.99 	(0.93, 1.06)"
hh_medium,"0.99 	(0.93, 1.06)","0.97 	(0.91, 1.04)"
hh_size,"1.00 	(0.99, 1.00)","1.00 	(0.99, 1.01)"
in_casteOBC,"0.91 	(0.86, 0.95)","1.01 	(0.96, 1.05)"
in_casteScheduled Caste,"0.94 	(0.88, 1.01)","0.97 	(0.91, 1.03)"
in_casteScheduled Tribe,"0.99 	(0.90, 1.09)","1.06 	(0.98, 1.16)"
in_religionMuslim,"1.17 	(1.10, 1.25)","0.97 	(0.91, 1.03)"
in_religionOther,"1.10 	(1.03, 1.17)","1.09 	(1.03, 1.16)"
residence,"0.94 	(0.90, 0.99)","0.88 	(0.84, 0.92)"
age,"1.02 	(1.02, 1.03)","1.02 	(1.01, 1.02)"
bmi,"1.04 	(1.04, 1.05)","1.05 	(1.05, 1.06)"
education_2,"0.94 	(0.89, 1.00)","1.04 	(1.00, 1.09)"
education_3,"0.82 	(0.73, 0.92)","1.06 	(0.99, 1.14)"
heavydrinker,"1.07 	(0.83, 1.37)","1.18 	(1.11, 1.26)"
laborforceFormal,"0.93 	(0.88, 0.98)","0.87 	(0.83, 0.91)"
laborforceRetired,"1.03 	(0.89, 1.19)","0.97 	(0.92, 1.03)"
moderate_pa,"0.99 	(0.97, 1.00)","1.01 	(1.00, 1.02)"
smokeCurrent,"0.90 	(0.78, 1.03)","0.95 	(0.91, 1.00)"
smokeFormer,"1.14 	(0.91, 1.42)","1.03 	(0.96, 1.10)"
vigorous_pa,"1.01 	(0.99, 1.02)","1.02 	(1.01, 1.03)"
