variable,estimate,lci,uci,type,group,est_ci,n
h_age,65.7,65.1,66.3,Continuous,NA,"65.7 (65.1, 66.3)",3989
w_age,62.9,62.3,63.4,Continuous,NA,"62.9 (62.3, 63.4)",3989
h_sbp,129.3,128.6,130,Continuous,NA,"129.3 (128.6, 130)",3989
w_sbp,121.9,121.3,122.6,Continuous,NA,"121.9 (121.3, 122.6)",3989
h_dbp,78.4,77.9,78.8,Continuous,NA,"78.4 (77.9, 78.8)",3989
w_dbp,77.6,77.2,78,Continuous,NA,"77.6 (77.2, 78)",3989
h_height,1.8,1.8,1.8,Continuous,NA,"1.8 (1.8, 1.8)",3949
w_height,1.6,1.6,1.6,Continuous,NA,"1.6 (1.6, 1.6)",3936
h_weight,91.5,90.8,92.2,Continuous,NA,"91.5 (90.8, 92.2)",3951
w_weight,75.9,75.2,76.7,Continuous,NA,"75.9 (75.2, 76.7)",3915
h_bmi,29.1,28.9,29.3,Continuous,NA,"29.1 (28.9, 29.3)",3942
w_bmi,28.7,28.4,29,Continuous,NA,"28.7 (28.4, 29)",3892
h_waistcircumference,107.3,106.4,108.2,Continuous,NA,"107.3 (106.4, 108.2)",2085
w_waistcircumference,99.1,98.2,100.1,Continuous,NA,"99.1 (98.2, 100.1)",2060
h_moderate_pa,2.6,2.5,2.7,Continuous,NA,"2.6 (2.5, 2.7)",3951
w_moderate_pa,2.5,2.4,2.5,Continuous,NA,"2.5 (2.4, 2.5)",3958
h_vigorous_pa,1.5,1.4,1.6,Continuous,NA,"1.5 (1.4, 1.6)",3941
w_vigorous_pa,1.1,1,1.2,Continuous,NA,"1.1 (1, 1.2)",3944
hh_children,3,2.9,3,Continuous,NA,"3 (2.9, 3)",3943
hh_size,2.6,2.5,2.6,Continuous,NA,"2.6 (2.5, 2.6)",3989
hh_lengthmar,33.6,32.7,34.6,Continuous,NA,"33.6 (32.7, 34.6)",3640
h_diagnosed_bp,56,53.8,58.2,Proportion,NA,"56 (53.8, 58.2)",3948
w_diagnosed_bp,48.5,46.3,50.7,Proportion,NA,"48.5 (46.3, 50.7)",3958
h_diagnosed_dm,25.6,23.8,27.3,Proportion,NA,"25.6 (23.8, 27.3)",3953
w_diagnosed_dm,20.1,18.6,21.7,Proportion,NA,"20.1 (18.6, 21.7)",3960
h_heavydrinker,26.9,24.9,29,Proportion,NA,"26.9 (24.9, 29)",3941
w_heavydrinker,19.7,17.6,21.9,Proportion,NA,"19.7 (17.6, 21.9)",3952
hh_lengthmar_ge10,91,89,93,Proportion,NA,"91 (89, 93)",3640
w_htn,54.6,52.3,56.9,Proportion,NA,"54.6 (52.3, 56.9)",3989
h_htn,64.5,62.5,66.6,Proportion,NA,"64.5 (62.5, 66.6)",3989
hh_htn,37.9,35.8,40,Proportion,NA,"37.9 (35.8, 40)",3989
h_laborforce,42.2,39.4,45,Grouped,employed,"42.2 (39.4, 45)",3959
h_laborforce,3.6,2.7,4.4,Grouped,other,"3.6 (2.7, 4.4)",3959
h_laborforce,53.4,50.6,56.3,Grouped,retired,"53.4 (50.6, 56.3)",3959
h_laborforce,0.8,0.5,1.1,Grouped,NA,"0.8 (0.5, 1.1)",3959
w_laborforce,38.7,36.3,41.1,Grouped,employed,"38.7 (36.3, 41.1)",3963
w_laborforce,10.1,8.6,11.5,Grouped,other,"10.1 (8.6, 11.5)",3963
w_laborforce,50.6,47.9,53.3,Grouped,retired,"50.6 (47.9, 53.3)",3963
w_laborforce,0.6,0.3,0.9,Grouped,NA,"0.6 (0.3, 0.9)",3963
h_religion,52.4,50,54.9,Grouped,1.Protestant,"52.4 (50, 54.9)",3975
h_religion,27.3,24.6,29.9,Grouped,2.Catholic,"27.3 (24.6, 29.9)",3975
h_religion,2.1,1.1,3.1,Grouped,3.Jewish,"2.1 (1.1, 3.1)",3975
h_religion,14.7,12.6,16.7,Grouped,4.None/no pref,"14.7 (12.6, 16.7)",3975
h_religion,3.3,2.5,4,Grouped,5.Other,"3.3 (2.5, 4)",3975
h_religion,0.3,0.1,0.5,Grouped,NA,"0.3 (0.1, 0.5)",3975
w_religion,55.8,53.6,58.1,Grouped,1.Protestant,"55.8 (53.6, 58.1)",3980
w_religion,28,25.9,30.2,Grouped,2.Catholic,"28 (25.9, 30.2)",3980
w_religion,2.2,1.3,3,Grouped,3.Jewish,"2.2 (1.3, 3)",3980
w_religion,10.3,8.7,11.9,Grouped,4.None/no pref,"10.3 (8.7, 11.9)",3980
w_religion,3.4,2.6,4.1,Grouped,5.Other,"3.4 (2.6, 4.1)",3980
w_religion,0.3,0,0.5,Grouped,NA,"0.3 (0, 0.5)",3980
h_smoke,11,9.7,12.4,Grouped,current,"11 (9.7, 12.4)",3939
h_smoke,47.6,45.4,49.8,Grouped,former,"47.6 (45.4, 49.8)",3939
h_smoke,40.3,38.1,42.6,Grouped,never,"40.3 (38.1, 42.6)",3939
h_smoke,1.1,0.8,1.4,Grouped,NA,"1.1 (0.8, 1.4)",3939
w_smoke,9.9,8.7,11.1,Grouped,current,"9.9 (8.7, 11.1)",3952
w_smoke,35.3,33.3,37.4,Grouped,former,"35.3 (33.3, 37.4)",3952
w_smoke,53.8,51.7,55.9,Grouped,never,"53.8 (51.7, 55.9)",3952
w_smoke,1,0.6,1.3,Grouped,NA,"1 (0.6, 1.3)",3952
residence,26,22.4,29.6,Grouped,Rural,"26 (22.4, 29.6)",3935
residence,72.5,68.8,76.2,Grouped,Urban,"72.5 (68.8, 76.2)",3935
residence,1.5,0.8,2.1,Grouped,NA,"1.5 (0.8, 2.1)",3935
w_education_h,8.5,6.6,10.4,Grouped,Less than lower secondary,"8.5 (6.6, 10.4)",3989
w_education_h,31.6,28.7,34.6,Grouped,Tertiary,"31.6 (28.7, 34.6)",3989
w_education_h,59.9,57.1,62.6,Grouped,Upper secondary and vocational training,"59.9 (57.1, 62.6)",3989
h_education_h,11.1,9.2,12.9,Grouped,Less than lower secondary,"11.1 (9.2, 12.9)",3986
h_education_h,34.5,31.3,37.7,Grouped,Tertiary,"34.5 (31.3, 37.7)",3986
h_education_h,54.3,51.5,57.2,Grouped,Upper secondary and vocational training,"54.3 (51.5, 57.2)",3986
h_education_h,0.1,0,0.2,Grouped,NA,"0.1 (0, 0.2)",3986
hh_incometertile,32.8,29.9,35.7,Grouped,High,"32.8 (29.9, 35.7)",3989
hh_incometertile,33.3,30.5,36.1,Grouped,Low,"33.3 (30.5, 36.1)",3989
hh_incometertile,33.9,31.3,36.5,Grouped,Medium,"33.9 (31.3, 36.5)",3989
hh_wealthquintile,19.8,17.7,21.9,Grouped,High,"19.8 (17.7, 21.9)",3989
hh_wealthquintile,19.8,17.5,22,Grouped,Highest,"19.8 (17.5, 22)",3989
hh_wealthquintile,20.3,18.4,22.2,Grouped,Low,"20.3 (18.4, 22.2)",3989
hh_wealthquintile,20.2,18,22.5,Grouped,Lowest,"20.2 (18, 22.5)",3989
hh_wealthquintile,19.9,18.1,21.7,Grouped,Medium,"19.9 (18.1, 21.7)",3989
h_raceethnic,9.5,6.6,12.3,Grouped,Hispanic,"9.5 (6.6, 12.3)",3982
h_raceethnic,6.1,5.1,7.1,Grouped,NHBlack,"6.1 (5.1, 7.1)",3982
h_raceethnic,4.8,3.7,5.9,Grouped,NHOther,"4.8 (3.7, 5.9)",3982
h_raceethnic,79.4,76.4,82.5,Grouped,NHWhite,"79.4 (76.4, 82.5)",3982
h_raceethnic,0.2,0,0.4,Grouped,NA,"0.2 (0, 0.4)",3982
w_raceethnic,10,7.4,12.6,Grouped,Hispanic,"10 (7.4, 12.6)",3980
w_raceethnic,5.7,4.7,6.6,Grouped,NHBlack,"5.7 (4.7, 6.6)",3980
w_raceethnic,4.9,3.7,6.1,Grouped,NHOther,"4.9 (3.7, 6.1)",3980
w_raceethnic,79.2,76.4,82,Grouped,NHWhite,"79.2 (76.4, 82)",3980
w_raceethnic,0.3,0,0.5,Grouped,NA,"0.3 (0, 0.5)",3980
