variable,estimate,lci,uci,type,group,est_ci,n
h_age,59.8,59.5,60.1,Continuous,NA,"59.8 (59.5, 60.1)",6514
w_age,57.6,57.3,57.8,Continuous,NA,"57.6 (57.3, 57.8)",6514
h_sbp,127.5,126.9,128,Continuous,NA,"127.5 (126.9, 128)",6208
w_sbp,124.5,124,125.1,Continuous,NA,"124.5 (124, 125.1)",6255
h_dbp,76.2,75.8,76.6,Continuous,NA,"76.2 (75.8, 76.6)",6208
w_dbp,73.7,73.4,74.1,Continuous,NA,"73.7 (73.4, 74.1)",6254
h_height,1.6,1.6,1.6,Continuous,NA,"1.6 (1.6, 1.6)",6170
w_height,1.5,1.5,1.5,Continuous,NA,"1.5 (1.5, 1.5)",6255
h_weight,64,63.7,64.4,Continuous,NA,"64 (63.7, 64.4)",6181
w_weight,57.5,57.2,57.8,Continuous,NA,"57.5 (57.2, 57.8)",6257
h_bmi,24,23.6,24.5,Continuous,NA,"24 (23.6, 24.5)",6163
w_bmi,25.2,24.5,26,Continuous,NA,"25.2 (24.5, 26)",6250
h_waistcircumference,86,85.7,86.4,Continuous,NA,"86 (85.7, 86.4)",6190
w_waistcircumference,85.8,85.5,86.2,Continuous,NA,"85.8 (85.5, 86.2)",6260
h_moderate_pa,2.8,2.7,3,Continuous,NA,"2.8 (2.7, 3)",3158
w_moderate_pa,3.6,3.5,3.7,Continuous,NA,"3.6 (3.5, 3.7)",3179
h_vigorous_pa,2.3,2.2,2.4,Continuous,NA,"2.3 (2.2, 2.4)",3169
w_vigorous_pa,1.7,1.6,1.8,Continuous,NA,"1.7 (1.6, 1.8)",3182
hh_children,2.6,2.6,2.6,Continuous,NA,"2.6 (2.6, 2.6)",6514
hh_size,3.2,3.2,3.3,Continuous,NA,"3.2 (3.2, 3.3)",6514
hh_lengthmar,37.5,37.2,37.8,Continuous,NA,"37.5 (37.2, 37.8)",5133
h_diagnosed_bp,35.8,34.3,37.3,Proportion,NA,"35.8 (34.3, 37.3)",5445
w_diagnosed_bp,36.7,35.2,38.3,Proportion,NA,"36.7 (35.2, 38.3)",5443
h_diagnosed_dm,8.7,7.9,9.5,Proportion,NA,"8.7 (7.9, 9.5)",5401
w_diagnosed_dm,10.8,9.9,11.8,Proportion,NA,"10.8 (9.9, 11.8)",5399
h_heavydrinker,11.3,10.3,12.2,Proportion,NA,"11.3 (10.3, 12.2)",6489
w_heavydrinker,1,0.7,1.2,Proportion,NA,"1 (0.7, 1.2)",6497
hh_lengthmar_ge10,99,98.7,99.3,Proportion,NA,"99 (98.7, 99.3)",5133
w_htn,40.3,38.9,41.8,Proportion,NA,"40.3 (38.9, 41.8)",6514
h_htn,42.9,41.4,44.4,Proportion,NA,"42.9 (41.4, 44.4)",6514
hh_htn,20.8,19.6,21.9,Proportion,NA,"20.8 (19.6, 21.9)",6514
h_laborforce,72.8,71.4,74.2,Grouped,employed,"72.8 (71.4, 74.2)",6431
h_laborforce,1.1,0.6,1.6,Grouped,other,"1.1 (0.6, 1.6)",6431
h_laborforce,24.4,23.1,25.7,Grouped,retired,"24.4 (23.1, 25.7)",6431
h_laborforce,1.7,1,2.3,Grouped,NA,"1.7 (1, 2.3)",6431
w_laborforce,63.1,61.7,64.5,Grouped,employed,"63.1 (61.7, 64.5)",6407
w_laborforce,2.6,2.2,3,Grouped,other,"2.6 (2.2, 3)",6407
w_laborforce,32.6,31.2,34,Grouped,retired,"32.6 (31.2, 34)",6407
w_laborforce,1.7,1.3,2.2,Grouped,NA,"1.7 (1.3, 2.2)",6407
h_hukou,20,18.7,21.4,Grouped,0,"20 (18.7, 21.4)",5755
h_hukou,68.2,66.7,69.7,Grouped,1,"68.2 (66.7, 69.7)",5755
h_hukou,11.7,10.7,12.8,Grouped,NA,"11.7 (10.7, 12.8)",5755
w_hukou,15.8,14.5,17.1,Grouped,0,"15.8 (14.5, 17.1)",5742
w_hukou,72.1,70.6,73.6,Grouped,1,"72.1 (70.6, 73.6)",5742
w_hukou,12.1,11,13.2,Grouped,NA,"12.1 (11, 13.2)",5742
residence,19.3,18,20.7,Grouped,0,"19.3 (18, 20.7)",5744
residence,68.7,67.2,70.3,Grouped,1,"68.7 (67.2, 70.3)",5744
residence,11.9,10.8,13,Grouped,NA,"11.9 (10.8, 13)",5744
