iv,W1_Hypertension,H1_Hypertension
(Intercept),"0.25 	(0.18, 0.34)","0.40 	(0.30, 0.52)"
htn,"1.26 	(1.17, 1.35)","1.26 	(1.18, 1.35)"
hh_children,"1.02 	(0.99, 1.05)","1.00 	(0.98, 1.03)"
hh_high,"1.00 	(0.88, 1.13)","0.97 	(0.88, 1.08)"
hh_highest,"0.96 	(0.83, 1.11)","0.93 	(0.80, 1.08)"
hh_lengthmar,"1.01 	(1.00, 1.01)","1.00 	(1.00, 1.01)"
hh_low,"1.11 	(1.00, 1.23)","0.99 	(0.90, 1.09)"
hh_medium,"0.93 	(0.83, 1.03)","0.96 	(0.87, 1.06)"
hh_size,"0.97 	(0.94, 1.00)","0.98 	(0.96, 1.01)"
residence,"0.88 	(0.77, 1.01)","0.91 	(0.79, 1.04)"
bmi,"1.00 	(1.00, 1.00)","1.00 	(1.00, 1.00)"
education_2,"0.91 	(0.78, 1.06)","0.96 	(0.86, 1.08)"
education_3,"1.12 	(0.55, 2.28)","1.05 	(0.87, 1.27)"
ge65,"1.25 	(1.13, 1.39)","1.19 	(1.07, 1.31)"
heavydrinker,"1.28 	(1.00, 1.63)","1.10 	(0.98, 1.23)"
hukou,"1.07 	(0.92, 1.26)","0.96 	(0.84, 1.11)"
laborforceother,"1.09 	(0.92, 1.31)","0.75 	(0.44, 1.28)"
laborforceretired,"1.31 	(1.20, 1.43)","1.15 	(1.05, 1.27)"
moderate_pa,"0.99 	(0.98, 1.01)","1.00 	(0.98, 1.02)"
smokeformer,"1.14 	(0.93, 1.39)","1.16 	(1.07, 1.25)"
smokenever,"1.14 	(0.97, 1.34)","1.03 	(0.94, 1.14)"
vigorous_pa,"0.99 	(0.97, 1.01)","0.98 	(0.96, 1.00)"
