label,Wives,Husbands
Overall,"1.26 	(1.17, 1.35)","1.26 	(1.18, 1.35)"
Age < 65,"1.34 	(1.22, 1.47)","1.33 	(1.21, 1.47)"
Age >= 65,"1.12 	(1.02, 1.23)","1.16 	(1.06, 1.27)"
Education: Less than lower secondary,"1.27 	(1.18, 1.37)","1.24 	(1.15, 1.34)"
Education: Upper secondary and vocational training,"1.35 	(1.02, 1.80)","1.41 	(1.16, 1.73)"
Education: Tertiary,"0.39 	(0.15, 1.02)","1.22 	(0.88, 1.69)"
Urban,"1.25 	(0.89, 1.75)","1.20 	(0.88, 1.64)"
Rural,"1.26 	(1.06, 1.48)","1.23 	(1.06, 1.44)"
Wealth: Lowest,"1.30 	(1.18, 1.42)","1.32 	(1.21, 1.44)"
Wealth: Low,"1.13 	(0.95, 1.36)","1.17 	(0.98, 1.39)"
Wealth: Medium,"1.25 	(1.03, 1.52)","1.20 	(1.00, 1.43)"
Wealth: High,"1.21 	(0.96, 1.53)","1.22 	(1.00, 1.49)"
Wealth: Highest,"1.32 	(1.00, 1.74)","1.23 	(0.91, 1.65)"
